,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14,#15,#16,#17,#18,#19,#20,#21,#22,#23,#24,#25,#26,#27
0,134.425,133.925,132.85000000000002,133.2,132.925,133.425,132.39999999999998,131.77499999999998,132.225,132.875,133.2,132.35,133.125,134.375,133.1,131.39999999999998,130.925,132.75,132.77499999999998,133.55,132.875,133.02499999999998,132.75,132.575,131.22500000000002,131.52499999999998,132.14999999999998
1,134.875,134.2,133.775,134.05,133.60000000000002,134.0,132.9,132.525,132.3,133.875,134.175,133.425,134.275,134.425,133.875,131.75,131.75,133.55,133.625,133.55,133.425,133.925,134.39999999999998,133.525,131.275,131.3,132.14999999999998
2,134.925,134.52499999999998,134.05,134.675,134.25,134.45,133.075,132.875,132.3,134.9,134.725,134.175,134.75,135.0,134.9,131.75,132.225,133.925,134.5,133.97500000000002,133.675,134.25,134.475,133.97500000000002,131.625,131.7,132.52499999999998
3,135.775,135.05,134.25,135.475,134.85,134.825,133.25,132.825,132.35,135.175,134.85,134.925,135.275,135.27499999999998,134.925,132.85,132.475,133.925,134.75,134.575,134.225,134.425,134.55,133.97500000000002,131.85,132.225,132.725
4,136.35000000000002,135.39999999999998,134.65,135.85,135.5,135.2,133.5,133.675,132.425,135.27499999999998,135.2,135.9,135.925,135.875,135.3,132.85,132.825,134.05,135.0,134.75,134.575,134.7,134.575,134.275,131.85,132.225,132.725
5,136.275,135.5,134.925,136.375,135.5,135.7,134.175,133.825,133.35,135.77499999999998,135.525,136.14999999999998,136.72500000000002,135.975,135.625,133.125,133.0,134.425,135.0,135.075,134.725,134.825,134.77499999999998,134.47500000000002,132.175,132.225,132.825
6,136.925,136.175,135.675,136.55,135.925,136.35,133.97500000000002,134.125,134.575,136.0,135.77499999999998,136.14999999999998,137.5,136.5,135.97500000000002,133.39999999999998,133.175,134.575,135.75,134.95,134.95,135.225,135.575,134.575,132.175,132.5,132.825
7,137.0,136.175,135.8,136.875,136.125,136.675,134.625,134.125,134.575,136.5,136.05,136.52499999999998,137.725,136.75,136.25,133.975,133.825,134.95,136.025,135.075,135.0,135.375,135.775,135.55,132.25,132.8,133.10000000000002
8,137.0,136.5,135.925,136.9,136.425,136.75,134.95,134.575,134.64999999999998,137.025,136.75,136.95,137.95,136.975,136.6,133.975,134.15,135.39999999999998,136.10000000000002,135.325,135.10000000000002,135.6,135.89999999999998,135.55,132.525,132.85000000000002,133.2
9,137.52499999999998,136.9,136.25,137.375,136.675,137.025,135.125,134.925,135.125,137.22500000000002,136.825,137.45,137.975,137.375,136.825,133.925,134.15,135.64999999999998,136.45,135.625,135.3,135.925,135.925,135.925,132.525,132.95,133.2
10,138.075,137.375,136.4,137.625,136.35,137.2,135.125,135.02499999999998,135.64999999999998,137.375,137.075,137.825,138.0,137.75,137.05,134.375,134.15,135.8,136.45,135.475,135.35,136.075,136.02499999999998,135.925,132.97500000000002,133.75,133.375
11,138.25,137.55,137.02499999999998,137.725,136.64999999999998,137.55,135.8,135.125,135.64999999999998,137.675,137.35000000000002,137.825,138.475,137.85,137.675,135.14999999999998,134.35000000000002,135.975,136.775,135.75,135.35,136.225,136.425,135.975,133.425,133.95,133.375
12,138.27499999999998,137.55,137.39999999999998,138.0,137.575,137.675,135.9,135.02499999999998,135.64999999999998,137.725,137.425,138.05,138.575,138.025,137.675,136.2,135.10000000000002,135.975,136.85000000000002,136.35,135.375,136.225,136.9,135.55,133.65,133.95,133.375
13,138.475,137.60000000000002,137.27499999999998,138.225,137.225,137.9,136.8,135.175,135.89999999999998,137.95,137.4,138.325,138.875,138.175,137.7,136.2,135.10000000000002,136.375,136.85000000000002,136.35,135.375,136.35,137.025,135.7,134.1,133.8,133.75
14,138.475,138.05,137.475,138.425,137.55,138.45,136.8,135.175,135.52499999999998,138.275,137.5,138.225,138.97500000000002,138.5,137.925,136.2,135.10000000000002,136.375,136.5,136.625,135.3,136.35,137.025,135.7,134.95,134.2,133.825
15,138.9,138.3,137.625,138.675,137.975,138.575,137.14999999999998,135.425,135.52499999999998,138.275,137.89999999999998,138.39999999999998,138.97500000000002,138.55,137.725,136.25,134.925,136.375,136.95,136.8,135.825,136.39999999999998,137.025,135.7,134.95,134.2,134.47500000000002
16,139.125,138.625,137.675,138.7,138.27499999999998,138.575,137.52499999999998,135.65,135.52499999999998,138.325,137.95,138.575,139.0,138.55,137.7,136.525,135.225,136.575,137.2,136.625,135.825,136.425,137.025,135.975,135.175,134.6,134.625
17,139.125,138.625,137.52499999999998,139.25,138.575,138.3,137.52499999999998,135.8,135.52499999999998,138.72500000000002,138.10000000000002,138.52499999999998,139.4,138.55,138.125,136.875,134.925,136.75,137.3,136.89999999999998,135.825,136.85,137.275,136.52499999999998,135.325,134.25,134.625
18,139.4,138.675,137.8,139.425,138.64999999999998,138.575,137.52499999999998,136.02499999999998,135.52499999999998,138.85000000000002,138.22500000000002,138.64999999999998,139.7,138.525,138.7,136.95,135.3,136.75,137.3,136.975,135.9,136.85,137.275,136.52499999999998,135.6,134.925,134.625
19,139.60000000000002,138.7,137.8,139.475,138.64999999999998,138.575,137.52499999999998,136.02499999999998,135.52499999999998,138.875,138.22500000000002,139.0,139.8,138.75,138.85000000000002,136.95,135.55,136.75,137.3,137.35000000000002,135.95,136.85,137.275,136.95,135.89999999999998,135.02499999999998,135.1
