,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14,#15,#16,#17,#18,#19,#20,#21,#22,#23,#24,#25,#26,#27
0,133.875,133.35000000000002,134.225,133.725,134.025,133.825,133.475,132.75,132.875,134.125,134.375,134.525,134.225,134.225,134.15,133.625,133.39999999999998,133.4,132.7,132.95,133.2,133.425,133.025,132.6,132.625,132.025,132.6
1,134.475,133.95,134.775,134.55,134.625,134.4,133.6,133.3,132.9,134.9,135.1,134.85000000000002,135.075,134.875,134.925,133.9,133.675,133.525,133.3,133.45,133.025,133.45,133.2,133.2,132.275,131.85,132.225
2,134.85,134.375,134.975,134.85,135.0,134.9,133.675,133.85,133.075,135.35,135.625,135.525,135.5,135.55,135.5,134.45,134.25,134.325,133.2,133.175,133.25,133.425,133.1,133.1,132.0,131.77499999999998,132.025
3,135.375,134.925,135.225,135.3,135.2,135.35,133.85,134.35000000000002,133.75,135.925,135.97500000000002,136.1,135.925,135.8,136.125,134.775,134.775,134.625,133.35,132.975,133.25,133.45,133.225,133.225,132.375,131.9,131.975
4,135.675,135.2,135.7,135.6,135.89999999999998,135.475,134.475,134.4,133.9,136.275,136.575,136.475,136.45,136.45,136.75,135.1,135.225,135.275,133.675,133.3,133.275,133.35,132.925,133.575,132.22500000000002,131.9,131.825
5,135.725,135.575,136.0,136.025,135.95,135.7,134.825,134.6,134.35,136.85,137.25,136.8,136.85,136.95,136.95,135.475,135.525,135.475,133.525,133.175,133.95,134.0,133.52499999999998,133.95,132.3,131.9,131.6
6,135.89999999999998,135.775,136.15,136.25,136.15,136.25,135.125,134.775,134.625,137.375,137.625,137.25,137.2,137.5,137.525,135.875,135.725,135.7,133.975,133.475,133.7,133.825,133.575,133.875,132.325,131.875,132.0
7,136.275,136.25,136.45,136.4,136.725,136.425,135.39999999999998,135.0,134.95,137.85,137.825,137.55,137.875,137.9,137.925,136.125,136.15,136.125,134.025,133.475,133.7,133.875,133.675,133.575,132.275,131.625,132.025
8,136.5,136.8,136.75,136.775,136.9,136.7,135.65,135.175,135.175,138.4,138.1,137.775,138.1,138.25,138.375,136.8,136.325,136.15,133.95,133.6,133.575,133.575,133.775,134.075,132.05,131.825,131.64999999999998
9,136.875,136.725,136.875,137.0,137.125,137.225,135.825,135.725,135.4,138.825,138.65,138.375,138.55,138.525,138.775,137.075,136.575,136.325,133.625,133.625,133.475,133.95,134.1,133.825,132.3,132.125,131.875
10,137.22500000000002,137.05,137.05,137.525,137.425,137.225,136.10000000000002,135.7,135.5,138.875,138.925,138.675,138.9,138.8,139.075,137.25,136.85,136.5,133.85000000000002,133.675,133.65,134.1,133.525,133.85,132.45,131.825,131.8
11,137.675,137.25,137.25,137.625,137.725,137.4,136.375,135.85,135.55,139.3,139.225,138.925,139.325,139.15,139.275,137.35,137.0,136.525,133.75,133.7,133.95,134.125,134.075,133.975,132.5,131.8,131.925
