,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14,#15,#16,#17,#18,#19,#20,#21,#22,#23,#24,#25,#26,#27
0,133.75,134.02499999999998,134.225,134.1,134.25,134.15,132.95,133.275,133.0,134.55,134.225,134.125,134.625,134.25,134.525,133.3,133.225,133.675,134.1,134.05,133.825,133.875,133.9,134.375,133.35,132.725,133.45
1,134.275,134.7,135.0,134.975,134.95,135.275,133.25,133.525,133.525,135.225,135.0,134.85,135.4,135.075,135.25,133.475,133.7,134.15,134.45,134.6,134.2,134.5,134.225,134.825,133.45,132.825,133.775
2,135.0,135.2,135.3,135.3,135.375,135.475,133.45,133.75,133.75,135.64999999999998,135.65,135.75,135.9,135.55,135.85,134.125,134.225,134.975,134.65,134.85,134.65,134.8,134.9,135.05,133.525,133.25,133.85000000000002
3,135.4,135.9,135.85,135.85,135.725,135.97500000000002,133.75,134.15,134.3,136.3,136.15,136.225,136.52499999999998,136.35000000000002,136.55,134.525,134.525,135.0,134.825,134.975,134.925,135.4,135.225,135.14999999999998,134.0,133.425,133.925
4,135.85,136.25,136.375,136.3,136.10000000000002,136.575,134.375,134.5,134.625,136.925,136.625,136.5,137.05,136.825,137.075,135.0,135.15,135.525,135.125,135.425,135.225,135.675,135.5,135.4,134.15,133.575,134.6
5,136.325,136.725,136.8,136.75,136.625,136.9,134.725,134.65,134.925,137.45,137.35000000000002,137.0,137.55,137.225,137.375,135.475,135.5,135.8,135.45,135.675,135.35,135.775,135.675,135.825,134.225,133.6,134.675
6,136.725,137.25,137.1,137.05,137.05,137.2,135.075,134.8,135.25,138.125,137.65,137.65,137.85000000000002,137.375,137.875,135.75,135.725,136.05,135.8,135.85,135.575,135.925,135.775,136.075,134.60000000000002,133.975,134.8
7,137.2,137.35,137.375,137.475,137.45,137.425,135.4,135.25,135.52499999999998,138.375,138.025,137.9,138.125,138.025,138.575,135.975,136.0,136.2,136.0,135.975,136.125,136.275,136.0,136.45,134.725,134.2,134.9
8,137.65,137.575,137.7,137.7,137.625,138.025,135.6,135.475,135.7,138.775,138.2,138.125,138.7,138.6,138.975,136.375,136.25,136.575,136.15,136.225,136.25,136.45,136.15,136.5,134.8,134.275,135.025
9,137.75,138.125,138.025,138.2,138.075,138.425,135.75,135.5,136.15,139.075,138.65,138.55,139.0,138.85,139.4,136.7,136.35,136.725,136.375,136.425,136.425,136.525,136.325,136.575,135.05,134.525,135.15
10,138.35,138.35,138.3,138.5,138.25,138.475,136.125,135.8,136.25,139.3,138.825,138.975,139.425,139.0,139.64999999999998,137.3,136.425,136.95,136.675,136.575,136.45,136.675,136.525,136.725,135.2,134.625,135.3
11,138.8,138.675,138.6,138.9,138.525,138.725,136.5,136.0,136.35,139.75,139.1,139.35,139.625,139.3,139.7,137.3,136.4,137.3,137.025,136.85,136.5,136.95,136.6,136.925,135.225,134.675,135.575
12,139.14999999999998,138.875,138.95,139.25,138.75,138.775,136.875,136.22500000000002,136.45,140.175,139.325,139.375,139.9,139.45,139.975,137.45,136.525,137.375,137.05,136.9,136.55,136.95,136.8,137.025,135.4,135.05,135.825
13,139.3,139.275,139.2,139.5,138.85,138.95,137.05,136.375,136.475,140.55,139.55,139.72500000000002,140.075,139.675,140.175,137.675,136.925,137.6,137.225,136.925,136.975,137.275,136.9,137.175,135.5,135.1,135.825
14,139.5,139.425,139.3,139.675,139.2,139.325,137.275,136.5,136.7,140.625,139.7,139.65,140.275,139.89999999999998,140.6,138.0,137.0,137.6,137.275,136.975,137.125,137.475,137.0,137.175,135.7,135.15,136.05
15,139.75,139.60000000000002,139.55,139.825,139.325,139.5,137.45,136.625,136.875,140.775,139.7,140.05,140.6,140.175,140.65,138.25,137.2,137.625,137.60000000000002,137.025,137.25,137.575,137.1,137.25,135.775,135.2,136.1
16,140.025,139.85,139.7,140.225,139.575,139.8,137.65,136.625,136.975,140.9,139.8,140.2,140.775,140.2,140.675,138.325,137.175,137.7,137.675,137.35000000000002,137.4,137.64999999999998,137.2,137.275,135.825,135.25,136.2
17,140.275,140.125,140.05,140.325,139.725,140.1,137.725,136.675,137.15,141.05,140.025,140.25,141.0,140.175,140.75,138.35,137.3,137.725,137.725,137.525,137.525,137.775,137.55,137.5,136.05,135.325,136.175
18,140.5,140.375,140.3,140.575,140.175,140.3,137.9,136.7,137.15,141.275,140.25,140.35,141.225,140.35,140.8,138.625,137.425,137.875,137.825,137.475,137.55,137.95,137.75,137.7,136.05,135.5,136.225
19,140.55,140.5,140.55,140.475,140.225,140.325,138.175,136.85,137.15,141.475,140.225,140.575,141.3,140.4,140.95,138.7,137.65,137.875,137.975,137.475,137.75,138.075,137.875,137.7,136.175,135.65,136.425
20,141.02499999999998,140.55,140.7,140.675,140.325,140.55,138.325,136.8,137.275,141.575,140.275,140.475,141.475,140.4,140.9,138.775,137.75,137.9,138.05,137.6,137.9,138.075,138.0,137.95,136.425,135.7,136.5
21,141.175,140.825,140.7,141.05,140.45,140.675,138.375,137.0,137.325,141.675,140.5,140.45,141.575,140.4,140.95,138.89999999999998,137.8,138.0,138.1,137.65,137.9,138.15,138.075,138.1,136.525,135.75,136.45
22,141.325,140.85,140.85000000000002,141.15,140.55,140.75,138.5,137.2,137.35000000000002,141.8,140.5,140.85,141.6,140.425,140.975,138.975,137.8,138.05,138.175,137.725,137.95,138.25,138.1,138.15,136.675,135.8,136.5
23,141.375,140.925,141.025,141.275,140.55,140.9,138.55,137.125,137.425,141.9,140.625,140.75,141.875,140.575,141.125,139.05,137.85,138.15,138.2,137.875,138.2,138.425,138.125,138.15,136.825,135.9,136.525
