,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14,#15,#16,#17,#18,#19,#20,#21,#22,#23,#24,#25,#26,#27
0,132.8,132.97500000000002,133.22500000000002,133.225,133.725,132.75,132.39999999999998,132.325,132.25,133.45,133.6,133.5,133.325,133.3,134.25,131.575,132.275,132.45,132.45,133.7,133.425,133.52499999999998,133.425,132.975,132.5,131.675,132.45
1,133.975,134.075,133.775,133.75,133.875,133.475,132.39999999999998,132.64999999999998,132.25,134.425,134.5,133.89999999999998,134.825,133.825,135.075,131.75,132.75,132.9,133.825,134.1,133.525,133.625,133.425,133.575,132.5,131.675,132.8
2,134.025,134.625,134.25,134.7,134.65,133.75,132.45,132.975,132.95,134.775,135.10000000000002,134.75,135.60000000000002,134.375,135.6,132.7,132.75,133.25,134.275,134.225,134.425,134.075,134.1,133.575,132.5,131.975,132.8
3,134.8,135.45,134.475,134.75,134.925,134.325,132.45,133.075,134.025,135.275,135.22500000000002,135.75,135.8,135.25,135.725,133.325,134.225,133.25,134.3,134.375,134.5,134.325,134.825,134.325,132.925,131.975,133.225
4,135.275,135.55,134.725,135.125,135.25,134.825,132.45,133.85,134.125,135.375,136.025,135.75,135.875,135.60000000000002,136.5,133.35000000000002,134.225,133.575,134.5,134.5,134.6,134.60000000000002,134.875,134.625,132.925,132.125,133.9
5,135.35000000000002,135.52499999999998,135.725,135.45,136.125,135.52499999999998,133.1,133.875,134.675,135.95,136.0,135.9,136.425,136.05,136.64999999999998,133.5,134.575,133.47500000000002,135.65,134.45,134.7,134.95,134.875,134.675,133.4,132.2,133.9
6,135.625,135.875,135.875,136.2,136.3,135.675,133.1,134.25,134.775,136.0,136.77499999999998,136.4,136.675,136.175,136.825,133.85000000000002,134.575,134.425,136.0,135.25,134.7,134.95,135.075,134.89999999999998,133.625,132.65,133.9
7,136.15,136.2,136.125,136.7,136.77499999999998,135.875,133.5,134.975,134.8,136.45,137.175,137.0,137.0,136.475,136.75,134.8,134.7,134.75,136.0,135.275,135.0,135.275,135.65,135.0,133.625,133.39999999999998,133.925
8,136.8,136.85,136.375,136.85000000000002,136.925,136.05,134.0,135.25,134.85000000000002,136.39999999999998,137.575,137.0,137.45,136.9,137.875,134.85000000000002,134.825,134.85,136.0,135.9,135.4,135.275,135.65,135.35,134.0,133.39999999999998,133.925
9,137.0,136.85,136.55,136.97500000000002,137.2,136.05,134.0,135.325,134.8,137.39999999999998,137.60000000000002,137.0,138.025,136.9,138.1,135.125,134.575,134.85,136.0,135.97500000000002,135.775,135.275,135.75,135.45,134.10000000000002,133.39999999999998,133.925
